employee_id,salary,effective_date
53,67225,2028-02-17
54,133327,2016-12-10
54,87008,2017-09-13
55,95576,2017-07-13
56,134904,2022-12-03
56,120675,2023-06-04
56,115197,2024-04-12
56,75718,2024-10-17
56,145068,2025-09-20
56,121960,2026-04-28
56,80423,2026-11-01
56,110985,2027-07-19
56,128258,2028-02-02
56,34991,2029-01-31
57,59124,2020-03-03
57,77149,2020-12-29
58,42897,2018-03-16
58,61653,2019-03-02
58,101147,2019-10-13
58,130036,2020-08-14
58,116476,2021-04-23
58,75163,2022-04-13
58,39133,2022-10-23
59,59357,2016-01-15
59,31663,2016-08-07
59,88921,2017-07-16
60,131330,2015-07-26
60,51082,2016-04-02
60,122068,2017-01-30
60,96441,2018-01-26
61,109466,2024-02-04
61,111427,2024-10-25
61,125749,2025-08-18
61,77752,2026-02-21
61,64794,2026-08-22
61,65724,2027-03-12
61,147017,2027-09-10
61,98921,2028-03-09
61,132018,2028-09-23
61,42527,2029-04-21
62,147961,2017-11-30
62,145680,2018-11-15
62,68950,2019-07-01
63,134438,2025-01-25
63,106331,2025-12-19
63,143561,2026-11-13
64,30668,2018-10-08
64,135444,2019-08-15
64,85258,2020-02-13
64,71100,2020-09-28
64,86643,2021-09-09
65,74734,2018-05-05
65,75699,2019-03-30
65,40470,2020-01-17
65,78843,2020-12-12
65,81126,2021-07-06
65,94085,2022-01-31
66,65999,2017-07-22
66,66670,2018-03-29
66,70897,2018-11-16
66,87882,2019-07-07
66,132028,2020-06-07
66,74867,2021-02-05
66,73421,2021-09-27
66,144225,2022-08-04
66,120313,2023-04-17
66,109244,2024-03-08
67,83289,2017-04-27
67,135365,2018-04-10
67,40047,2019-03-07
67,46442,2019-11-27
67,66544,2020-08-14
67,105599,2021-04-09
67,78946,2022-01-03
67,138089,2022-07-29
67,71865,2023-02-15
68,110759,2018-05-26
68,42298,2019-03-02
68,146733,2020-01-16
68,139359,2020-11-23
68,43904,2021-08-11
68,36966,2022-07-18
69,91065,2017-09-11
70,54096,2023-06-05
70,103433,2024-02-06
70,136904,2024-11-05
70,64161,2025-08-15
71,73601,2019-02-08
71,124524,2020-01-17
71,102880,2020-12-05
71,51487,2021-11-01
71,38852,2022-05-24
71,48969,2023-02-05
71,106660,2023-08-05
71,117469,2024-04-27
71,82255,2024-11-17
72,127628,2018-05-28
72,55992,2019-01-12
72,62844,2019-09-01
72,123488,2020-08-21
72,137980,2021-05-25
72,78831,2022-05-15
72,117381,2022-11-17
72,35736,2023-10-01
73,92437,2022-01-21
73,79142,2022-12-11
73,90104,2023-12-10
73,41653,2024-09-03
73,103509,2025-08-03
73,56916,2026-02-11
73,48374,2027-01-08
73,65450,2027-10-01
74,60335,2024-06-06
74,143675,2025-02-17
74,97303,2025-12-10
74,86200,2026-10-27
74,88265,2027-09-08
74,38881,2028-04-01
74,146023,2028-12-18
74,130533,2029-07-25
74,128196,2030-06-11
75,130015,2020-03-04
76,135279,2022-04-24
76,111069,2022-12-01
76,97038,2023-06-04
76,120511,2024-03-10
76,76009,2024-11-01
76,126108,2025-10-20
77,146040,2016-08-30
77,57845,2017-04-25
77,120266,2017-10-30
77,122041,2018-08-08
77,62443,2019-03-05
77,52082,2020-02-11
77,93345,2021-01-08
77,96648,2021-11-29
77,62713,2022-10-06
77,53178,2023-07-17
78,60412,2017-06-29
78,67480,2018-04-01
78,83278,2019-01-04
78,88529,2019-11-02
78,102829,2020-10-11
78,36059,2021-10-10
78,93721,2022-08-31
78,131804,2023-07-12
78,81351,2024-06-28
78,108917,2025-06-06
79,92960,2021-09-16
79,119110,2022-03-19
79,77011,2023-03-12
79,116842,2024-02-28
79,149842,2024-09-04
79,50982,2025-06-22
80,83869,2024-12-25
80,147348,2025-08-08
80,94668,2026-06-11
80,112363,2027-02-27
80,117937,2027-09-06
80,67699,2028-05-16
80,135171,2029-04-09
80,46748,2029-12-02
80,111131,2030-07-29
81,51251,2024-04-25
81,95400,2025-03-13
82,48298,2023-01-21
82,41501,2023-09-06
82,57161,2024-06-28
82,37926,2025-04-20
82,78744,2025-11-06
82,87920,2026-08-17
82,50207,2027-02-25
82,92076,2027-10-27
82,89902,2028-08-12
83,85543,2021-07-28
83,45112,2022-05-25
84,60394,2023-08-15
84,49643,2024-07-18
84,90649,2025-04-04
84,142900,2026-01-12
84,115186,2027-01-07
84,95071,2027-11-10
84,88852,2028-08-05
85,122409,2019-11-05
85,50621,2020-07-26
85,122217,2021-06-05
85,40195,2022-04-30
85,43238,2023-02-16
85,43308,2023-12-15
86,149945,2022-05-31
86,118249,2023-03-15
86,132736,2024-02-18
86,127445,2024-11-23
86,117081,2025-06-10
86,140354,2025-12-26
87,111239,2023-09-30
87,47807,2024-06-02
87,141076,2025-04-30
88,89332,2018-11-11
89,54841,2022-06-07
89,88414,2023-04-12
89,54988,2023-12-05
89,119871,2024-07-10
90,102369,2018-10-07
90,56297,2019-08-05
90,92125,2020-07-10
90,109211,2021-03-07
90,41735,2021-11-01
91,96688,2018-11-15
91,140654,2019-07-01
92,89660,2024-11-26
93,100124,2023-04-29
93,74682,2024-01-19
93,77911,2024-11-29
93,41592,2025-08-22
93,97473,2026-05-30
93,74971,2026-12-20
93,37176,2027-10-30
94,117873,2020-12-17
94,71078,2021-07-28
94,110335,2022-07-20
94,49458,2023-06-19
94,64952,2024-06-10
94,32053,2025-01-07
95,109935,2018-05-14
95,76203,2019-01-21
95,108955,2019-08-27
95,70968,2020-07-18
95,66766,2021-05-25
95,131649,2022-03-04
95,145957,2022-09-17
95,70136,2023-04-30
95,143538,2024-03-15
96,40226,2018-12-17
96,47761,2019-11-29
97,101225,2017-11-12
97,134951,2018-10-10
97,111862,2019-08-12
97,68411,2020-04-05
98,143181,2015-08-21
99,130202,2015-03-17
99,64583,2015-12-03
99,141952,2016-07-16
99,108044,2017-03-06
99,130979,2017-10-19
99,60227,2018-05-30
100,134288,2017-02-05
100,142655,2017-11-22
100,67944,2018-11-22
100,35158,2019-08-17
100,45190,2020-04-27
100,112173,2021-01-04
